,VTI,VEA,VWO,BND,EMB,QQQ,VNQ
1/4/17,0.007659203,0.01223826,0.009123635,0.000742544,0.00623872,0.005437523,0.01461351
1/5/17,-0.001964265,0.008866147,0.01041099,0.005070443,0.007727564,0.005657711,0.003213863
1/6/17,0.003166205,-0.003994613,-0.004067286,-0.003937489,-0.000535044,0.008769732,0.000118678
1/9/17,-0.003838647,-0.002406421,-0.001633579,0.002470718,-0.001159758,0.003280583,-0.009016516
1/10/17,0.000770714,0.001072021,0.005454071,-0.00024651,-0.00160772,0.002207117,-0.00849993
1/11/17,0.003165869,0.006961235,0.008679135,0.000493047,0.000984081,0.002691695,-0.006157959
1/12/17,-0.002644128,0.000797628,0.00242001,0.000246449,0.001966228,-0.001545615,0.005102731
1/13/17,0.002480124,0.003719431,-0.001072884,-0.001601242,0.000446018,0.003421915,-0.001450535
1/17/17,-0.004436139,-0.002646863,-0.001074138,0.003084135,0.004101275,-0.003004244,0.007747239
1/18/17,0.002313661,-0.00451173,-0.003763424,-0.005165394,-0.007014748,0.002035996,0.001681674
1/19/17,-0.003932625,-0.001866161,-0.002698389,-0.001730738,-0.002414417,-0.000487626,-0.01019305
1/20/17,0.003433195,0.0048077,0.001623414,0.000743004,0.001254925,0.002195452,0.007269184
1/23/17,-0.002651657,0.002126577,0.01377629,0.002722451,0.00474491,0.000811347,0.008419497
1/24/17,0.007804491,0.004244028,0.007194257,-0.001480873,-0.003296826,0.006728835,0.000238601
1/25/17,0.008594966,0.009772819,0.008730208,-0.002966327,-0.001162142,0.01006603,-0.006558586
1/26/17,-0.001434342,-0.003138868,-0.004196167,0.00037187,-0.000805549,0.001036413,-0.00192049
1/27/17,-0.001605364,-0.002361589,0.001053387,0.001115291,0.002955946,0.001911481,-0.009741494
1/30/17,-0.006770507,-0.007101538,-0.004998649,-0.000247608,-0.002232741,-0.00779017,-0.006801039
1/31/17,0.000852066,0.003443737,0.000528833,0.002104814,0.003669854,-0.002002884,0.007214527
2/1/17,-8.52E-05,0.003431818,0.002114112,-0.001754166,0.000198188,0.006903754,-0.01201901
2/2/17,0.000681157,0.001578568,0.003428298,0.000620154,0.002954094,-0.000876988,0.01191941
2/3/17,0.007572529,0.00420278,0.006307534,0.000247851,0.005801513,0.002872651,0.005464537
2/6/17,-0.002364455,-0.007324059,-0.002350487,0.003097893,0,0.001193519,-0.001690814
2/7/17,-8.47E-05,-0.000790582,-0.003664905,0.00160599,-0.001242341,0.003655719,-0.003508358
2/8/17,0.001100524,0.001582315,0.007882271,0.002713385,0.003909328,0.001662832,0.007891148
2/9/17,0.006595626,0.003686134,0.005213784,-0.002706042,-0.001327565,0.003636356,0.002409113
2/10/17,0.004200269,0.003672597,0.009076724,-0.000246723,0.001506609,0.003308114,0.007089598
2/13/17,0.005019228,0.003659258,0.003855089,-0.001110243,0.00106181,0.005652448,0.000357938
2/14/17,0.003662414,-0.000520845,0.001536036,-0.00209952,-0.001060684,0.003356695,-0.00524803
2/15/17,0.005473512,0.003647717,0.007413112,-0.001608971,-0.000265452,0.005912974,-0.003357299
2/16/17,-0.000907296,0.002076792,-0.002791185,0.001859446,-0.000531113,-0.00030933,0.005895066
2/17/17,0.001486009,-0.003367805,-0.003307915,0.002350933,0.000265664,0.00433267,0.001913599
2/21/17,0.005935218,0.00441898,0.008169607,-0.000123468,0.001505142,0.004930278,0.01277307
2/22/17,-0.00131112,-0.000776366,0.002532248,0.000617322,0.001414392,0.000383312,-0.003300316
2/23/17,-0.000738524,0.001812994,0.00050519,0.001850634,0.002913152,-0.003754831,0.005203435
2/24/17,0.001642343,-0.008531588,-0.01060343,0.003694619,0.00193646,0.001922929,0.0047059
2/27/17,0.00221345,0.000521524,-0.00408267,-0.002085867,-0.002371996,0.001228341,0.005269285
2/28/17,-0.003680957,-0.002345586,-0.008711252,-0.000737799,0,-0.003066967,-0.006872409
3/1/17,0.01346469,0.009665694,0.01602488,-0.004080496,0.000363245,0.01092138,-0.003049521
3/2/17,-0.006399878,-0.006209616,-0.01780719,-0.001856914,-0.00468369,-0.00502133,-0.005411754
3/3/17,0.000815316,0.004946593,0.008546957,0.000744204,0.004616925,0.001835185,-0.003903499
3/6/17,-0.003910414,-0.003367805,0.001540867,-0.000619693,-0.000353521,-0.002213468,-0.004512496
3/7/17,-0.003189657,-0.002599488,0.001282032,-0.001860138,-0.000707292,-0.001682867,-0.00477158
3/8/17,-0.002789599,-0.005212426,-0.00998718,-0.002360477,-0.00778552,0.001762401,-0.0184586
3/9/17,0.000493645,0.00419187,-0.008535903,-0.003113325,-0.006241682,0.000764807,-0.0150201
3/10/17,0.003618441,0.007826747,0.008348544,0.001998701,0.004217149,0.004203631,-0.00309943
3/13/17,0.000737433,0.004659599,0.01267782,-0.001994714,-0.001608294,0.001674414,0.002487215
3/14/17,-0.003602676,-0.007472324,-0.00562088,-0.000124949,-0.003042745,-0.002431482,-0.000248161
3/15/17,0.00903935,0.01557628,0.02338139,0.006246876,0.01364449,0.006169646,0.0202259
3/16/17,-0.00122161,0.004089976,0.006778725,-0.001489977,-0.003010949,-0.00068139,-0.001946043
3/17/17,-0.000570774,0.00152753,-0.000997434,0.0019896,0.004085975,-0.000347262,0.004630818
3/20/17,-0.002433725,-0.0005084,0.01018722,0.002035263,0.0018489,0.000911194,-0.001709118
